t;Extract;Cext;Cag;Rt;A_405;A_450;A_492;A_630
60;A;0.7;2;40;1.379;1.386;1.383;1.387
60;A;0.7;3;40;1.889;1.938;1.922;1.919
60;A;0.7;4;40;1.878;1.926;1.91;1.91
60;A;0.7;5;40;1.925;1.947;1.941;1.938
60;A;0.7;1;40;0.795;0.783;0.787;0.787
60;A;0.7;2;40;1.324;1.303;1.315;1.322
60;A;0.7;3;40;1.869;1.839;1.848;1.851
60;A;0.7;4;40;1.702;1.695;1.699;1.711
60;A;0.7;5;40;2.007;2.022;2.005;2.008
60;A;0.7;1;100;1.818;1.878;1.873;1.869
60;A;0.7;2;100;1.823;1.862;1.852;1.857
60;A;0.7;3;100;1.91;1.994;1.971;1.982
60;A;0.7;4;100;2.001;2.194;2.144;2.131
60;A;0.7;5;100;2.076;2.307;2.261;2.232
60;A;0.7;1;100;1.809;1.874;1.881;1.88
60;A;0.7;2;100;1.777;1.836;1.837;1.844
60;A;0.7;3;100;1.858;2.019;2.03;1.992
60;A;0.7;4;100;1.917;2.206;2.132;2.11
60;A;0.7;5;100;2.009;2.341;2.268;2.224
0;B;0.7;1;10;0.155;0.245;0.248;0.261
0;B;0.7;2;10;0.167;0.319;0.32;0.345
0;B;0.7;3;10;0.181;0.372;0.379;0.402
0;B;0.7;4;10;0.189;0.359;0.367;0.396
0;B;0.7;5;10;0.268;0.462;0.472;0.496
0;B;0.7;1;10;0.2;0.289;0.293;0.31
0;B;0.7;2;10;0.178;0.325;0.333;0.352
0;B;0.7;3;10;0.184;0.404;0.426;0.442
0;B;0.7;4;10;0.199;0.418;0.434;0.458
0;B;0.7;5;10;0.22;0.415;0.437;0.452
0;B;0.7;1;80;0.269;0.372;0.372;0.381
0;B;0.7;2;80;0.325;0.507;0.529;0.551
0;B;0.7;3;80;0.484;0.863;0.935;0.984
0;B;0.7;4;80;0.538;1.101;1.23;1.311
0;B;0.7;5;80;0.406;1.093;1.251;1.339
0;B;0.7;1;80;0.288;0.39;0.386;0.404
0;B;0.7;2;80;0.457;0.654;0.667;0.693
0;B;0.7;3;80;0.45;0.833;0.913;0.975
0;B;0.7;4;80;0.452;1.06;1.199;1.3
0;B;0.7;5;80;0.452;1.149;1.354;1.476
0;B;0.7;1;40;0.216;0.292;0.254;0.306
0;B;0.7;2;40;0.367;0.68;0.716;0.757
0;B;0.7;3;40;0.339;0.852;0.897;0.94
0;B;0.7;4;40;0.33;0.824;0.886;0.934
0;B;0.7;5;40;0.395;0.912;0.999;1.074
0;B;0.7;1;40;0.2;0.275;0.285;0.283
0;B;0.7;2;40;0.335;0.634;0.683;0.709
0;B;0.7;3;40;0.307;0.793;0.849;0.879
0;B;0.7;4;40;0.338;0.831;0.895;0.941
