Wavelength;4_21_2023;4_21_2023;5_12_2023;5_12_2023;4_21_2023;4_21_2023;4_21_2023;4_21_2023;4_21_2023;4_21_2023;5_12_2023;5_12_2023;5_12_2023;5_12_2023;5_12_2023;5_12_2023;5_12_2023;5_12_2023;5_12_2023;5_12_2023;5_12_2023;5_12_2023;5_12_2023;5_12_2023;5_12_2023;5_12_2023
235.5;7.915;-0.243;13.835;7.147;25.302;24.473;23.881;23.433;22.411;22.203;80.96;87.704;5.804;5.938;100.425;53.997;53.844;147.508;136.442;147.583;24.56;23.077;17.877;6.543;6.666;6.78
236;8.263;-0.241;13.891;7.197;25.384;24.623;23.946;23.481;22.495;22.295;80.243;87.055;5.703;5.814;99.734;53.602;53.484;145.2;136.408;145.434;24.406;22.952;17.748;6.455;6.567;6.669
236.5;8.611;-0.238;13.898;7.297;25.301;24.555;23.971;23.504;22.541;22.354;79.43;86.266;5.578;5.712;99.085;53.197;53.054;143.078;136.265;143.299;24.231;22.824;17.667;6.336;6.441;6.557
237;8.929;-0.237;13.862;7.303;24.891;24.426;23.991;23.563;22.595;22.402;78.712;85.57;5.438;5.609;98.402;52.745;52.718;141.008;136.089;141.229;24.104;22.647;17.543;6.269;6.346;6.434
237.5;9.39;-0.235;13.809;7.392;24.361;24.503;24.014;23.602;22.65;22.46;77.943;84.822;5.322;5.488;97.644;52.375;52.398;139.112;136.073;139.235;24.084;22.572;17.376;6.214;6.252;6.313
238;9.734;-0.234;13.775;7.471;23.902;24.434;24.043;23.625;22.72;22.522;77.283;84.051;5.165;5.393;96.673;51.99;51.999;137.314;135.89;137.377;24.062;22.495;17.395;6.125;6.154;6.184
238.5;10.126;-0.236;13.808;7.501;23.356;24.448;24.119;23.735;22.831;22.641;76.633;83.429;4.992;5.277;95.811;51.638;51.672;135.587;135.679;135.659;23.959;22.414;17.287;6.041;6.073;6.087
239;10.636;-0.236;13.932;7.667;22.85;24.466;24.302;23.824;23.029;22.841;75.991;82.794;4.871;5.165;95.077;51.334;51.46;134.152;135.17;134.157;23.79;22.243;17.162;5.939;5.959;5.972
239.5;11.284;-0.234;14.163;7.937;22.174;24.322;24.727;24.069;23.342;23.191;75.402;82.13;4.759;5.08;94.387;51.04;51.164;132.837;134.823;132.853;23.586;22.1;17.126;5.817;5.849;5.874
240;12.054;-0.234;14.612;8.387;21.773;24.491;25.366;24.625;23.829;23.67;74.883;81.462;4.677;4.995;93.643;50.725;50.888;131.524;134.498;131.665;23.434;22.003;17.13;5.697;5.73;5.739
240.5;13.05;-0.232;15.252;9.102;21.446;24.505;25.927;25.367;24.684;24.347;74.178;80.846;4.605;4.911;92.931;50.433;50.618;130.237;134.048;130.643;23.272;21.826;17.095;5.602;5.623;5.663
241;14.267;-0.229;16.099;9.94;21.076;24.469;26.254;26;25.507;25.312;73.529;80.343;4.578;4.859;92.283;50.17;50.342;129.201;133.681;129.801;23.028;21.654;17.01;5.489;5.493;5.572
241.5;15.504;-0.229;16.981;10.891;20.63;24.149;26.242;26.516;26.318;26.307;72.899;79.633;4.501;4.758;91.779;49.987;50.062;128.336;133.26;128.93;22.785;21.449;16.882;5.395;5.394;5.488
242;16.719;-0.227;17.746;11.756;20.066;23.873;25.889;26.818;27.156;26.966;72.371;79.032;4.483;4.703;91.109;49.746;49.842;127.527;133.123;128.02;22.7;21.271;16.752;5.33;5.306;5.403
242.5;17.685;-0.225;18.254;12.334;19.606;23.685;25.531;26.858;27.614;27.455;71.86;78.374;4.404;4.581;90.463;49.582;49.589;126.753;133.09;127.166;22.679;21.151;16.611;5.265;5.218;5.317
243;18.216;-0.219;18.387;12.575;19.18;23.197;25.014;26.578;27.578;27.682;71.348;77.702;4.296;4.468;89.771;49.412;49.313;126.054;133.067;126.517;22.655;21.071;16.59;5.18;5.137;5.212
243.5;18.352;-0.218;18.105;12.421;18.668;22.721;24.238;25.687;27.433;27.322;70.864;77.172;4.205;4.385;89.214;49.244;49.124;125.428;133.095;125.921;22.636;21.137;16.552;5.101;5.081;5.138
244;18.159;-0.212;17.511;11.92;18.201;22.043;23.503;24.686;27.159;26.542;70.501;76.643;4.141;4.31;88.615;49.07;48.968;125.026;133.033;125.418;22.633;21.209;16.562;5.048;5.01;5.07
244.5;17.902;-0.197;16.939;11.371;17.654;21.235;22.868;23.746;26.506;25.631;70.119;76.066;4.044;4.233;87.981;48.906;48.785;124.689;132.936;125.086;22.592;21.27;16.585;4.962;4.94;4.977
245;17.949;-0.318;16.696;11.149;17.072;20.632;22.212;22.937;25.754;24.631;69.624;75.513;3.973;4.159;87.382;48.738;48.685;124.468;132.705;124.869;22.534;21.24;16.508;4.841;4.834;4.854
245.5;18.514;-0.286;16.936;11.443;16.465;19.805;21.508;22.078;25.065;23.821;69.016;74.954;3.92;4.086;86.794;48.593;48.596;124.246;132.464;124.733;22.49;21.201;16.451;4.75;4.737;4.768
246;19.573;-0.319;17.618;12.112;15.855;19.036;20.649;21.251;24.147;23.285;68.396;74.363;3.855;3.985;86.193;48.444;48.538;123.951;132.369;124.551;22.376;21.12;16.358;4.633;4.623;4.681
246.5;20.913;-0.005;18.56;13.006;15.307;18.378;19.82;20.556;23.293;22.837;67.797;73.801;3.788;3.921;85.55;48.319;48.416;123.621;132.24;124.199;22.272;20.958;16.26;4.541;4.529;4.602
247;22.259;0.449;19.506;13.973;14.831;17.838;19.177;19.985;22.636;22.3;67.247;73.3;3.761;3.889;84.883;48.16;48.276;123.266;132.168;123.813;22.159;20.753;16.177;4.464;4.404;4.535
247.5;23.34;0.671;20.18;14.6;14.431;17.4;18.798;19.589;21.781;21.994;66.777;72.763;3.688;3.837;84.409;48.025;48.126;122.972;132.19;123.506;22.04;20.588;16.063;4.371;4.326;4.466
248;23.911;1.02;20.349;14.823;14.055;16.97;18.372;19.103;20.957;21.649;66.247;72.356;3.665;3.8;83.954;47.931;47.982;122.745;132.344;123.19;21.983;20.48;16.033;4.291;4.266;4.392
248.5;23.914;1.173;19.923;14.559;13.692;16.553;17.847;18.521;20.469;21.029;65.847;71.836;3.635;3.764;83.574;47.773;47.806;122.575;132.412;122.963;21.984;20.459;16.05;4.289;4.231;4.391
249;23.4;1.073;19.092;13.748;13.368;16.053;17.386;18.138;20.041;20.402;65.569;71.446;3.604;3.708;83.307;47.719;47.696;122.633;132.379;122.938;21.903;20.42;16.024;4.264;4.204;4.368
